"year","creditorEntity","debtorCountry","series","data"
2009,"011","AFG","DT.INR.DPPG",NA
2010,"011","AFG","DT.INR.DPPG",NA
2011,"011","AFG","DT.INR.DPPG",NA
2012,"011","AFG","DT.INR.DPPG",NA
2013,"011","AFG","DT.INR.DPPG",NA
2014,"011","AFG","DT.INR.DPPG",NA
2015,"011","AFG","DT.INR.DPPG",NA
2016,"011","AFG","DT.INR.DPPG",NA
2017,"011","AFG","DT.INR.DPPG",NA
2018,"011","AFG","DT.INR.DPPG",NA
2019,"011","AFG","DT.INR.DPPG",NA
2020,"011","AFG","DT.INR.DPPG",NA
2021,"011","AFG","DT.INR.DPPG",NA
2022,"011","AFG","DT.INR.DPPG",NA
2023,"011","AFG","DT.INR.DPPG",NA
1990,"012","AFG","DT.INR.DPPG",NA
1991,"012","AFG","DT.INR.DPPG",NA
1992,"012","AFG","DT.INR.DPPG",NA
1993,"012","AFG","DT.INR.DPPG",NA
1994,"012","AFG","DT.INR.DPPG",NA
1995,"012","AFG","DT.INR.DPPG",NA
1996,"012","AFG","DT.INR.DPPG",NA
1997,"012","AFG","DT.INR.DPPG",NA
1998,"012","AFG","DT.INR.DPPG",NA
1999,"012","AFG","DT.INR.DPPG",NA
2000,"012","AFG","DT.INR.DPPG",NA
2001,"012","AFG","DT.INR.DPPG",NA
2002,"012","AFG","DT.INR.DPPG",NA
2003,"012","AFG","DT.INR.DPPG",NA
2004,"012","AFG","DT.INR.DPPG",NA
2005,"012","AFG","DT.INR.DPPG",NA
2006,"012","AFG","DT.INR.DPPG",NA
2007,"012","AFG","DT.INR.DPPG",NA
2008,"012","AFG","DT.INR.DPPG",NA
2009,"012","AFG","DT.INR.DPPG",NA
2010,"012","AFG","DT.INR.DPPG",NA
2011,"012","AFG","DT.INR.DPPG",NA
2012,"012","AFG","DT.INR.DPPG",NA
2013,"012","AFG","DT.INR.DPPG",NA
2014,"012","AFG","DT.INR.DPPG",NA
2015,"012","AFG","DT.INR.DPPG",NA
2016,"012","AFG","DT.INR.DPPG",NA
2017,"012","AFG","DT.INR.DPPG",NA
2018,"012","AFG","DT.INR.DPPG",NA
2019,"012","AFG","DT.INR.DPPG",NA
2020,"012","AFG","DT.INR.DPPG",NA
2021,"012","AFG","DT.INR.DPPG",NA
2022,"012","AFG","DT.INR.DPPG",NA
2023,"012","AFG","DT.INR.DPPG",NA
1990,"018","AFG","DT.INR.DPPG",NA
1991,"018","AFG","DT.INR.DPPG",NA
1992,"018","AFG","DT.INR.DPPG",NA
1993,"018","AFG","DT.INR.DPPG",NA
1994,"018","AFG","DT.INR.DPPG",NA
1995,"018","AFG","DT.INR.DPPG",NA
1996,"018","AFG","DT.INR.DPPG",NA
1997,"018","AFG","DT.INR.DPPG",NA
1998,"018","AFG","DT.INR.DPPG",NA
1999,"018","AFG","DT.INR.DPPG",NA
2000,"018","AFG","DT.INR.DPPG",NA
2001,"018","AFG","DT.INR.DPPG",NA
2002,"018","AFG","DT.INR.DPPG",NA
2003,"018","AFG","DT.INR.DPPG",NA
2004,"018","AFG","DT.INR.DPPG",NA
2005,"018","AFG","DT.INR.DPPG",NA
2006,"018","AFG","DT.INR.DPPG",NA
2007,"018","AFG","DT.INR.DPPG",NA
2008,"018","AFG","DT.INR.DPPG",NA
2009,"018","AFG","DT.INR.DPPG",NA
2010,"018","AFG","DT.INR.DPPG",NA
2011,"018","AFG","DT.INR.DPPG",NA
2012,"018","AFG","DT.INR.DPPG",NA
2013,"018","AFG","DT.INR.DPPG",NA
2014,"018","AFG","DT.INR.DPPG",NA
2015,"018","AFG","DT.INR.DPPG",NA
2016,"018","AFG","DT.INR.DPPG",NA
2017,"018","AFG","DT.INR.DPPG",NA
2018,"018","AFG","DT.INR.DPPG",NA
2019,"018","AFG","DT.INR.DPPG",NA
2020,"018","AFG","DT.INR.DPPG",NA
2021,"018","AFG","DT.INR.DPPG",NA
2022,"018","AFG","DT.INR.DPPG",NA
2023,"018","AFG","DT.INR.DPPG",NA
1990,"019","AFG","DT.INR.DPPG",NA
1991,"019","AFG","DT.INR.DPPG",NA
1992,"019","AFG","DT.INR.DPPG",NA
1993,"019","AFG","DT.INR.DPPG",NA
1994,"019","AFG","DT.INR.DPPG",NA
1995,"019","AFG","DT.INR.DPPG",NA
1996,"019","AFG","DT.INR.DPPG",NA
1997,"019","AFG","DT.INR.DPPG",NA
1998,"019","AFG","DT.INR.DPPG",NA
1999,"019","AFG","DT.INR.DPPG",NA
2000,"019","AFG","DT.INR.DPPG",NA
2001,"019","AFG","DT.INR.DPPG",NA
2002,"019","AFG","DT.INR.DPPG",NA
2003,"019","AFG","DT.INR.DPPG",NA
2004,"019","AFG","DT.INR.DPPG",NA
2005,"019","AFG","DT.INR.DPPG",NA
2006,"019","AFG","DT.INR.DPPG",NA
2007,"019","AFG","DT.INR.DPPG",NA
2008,"019","AFG","DT.INR.DPPG",NA
2009,"019","AFG","DT.INR.DPPG",NA
2010,"019","AFG","DT.INR.DPPG",NA
2011,"019","AFG","DT.INR.DPPG",NA
2012,"019","AFG","DT.INR.DPPG",NA
2013,"019","AFG","DT.INR.DPPG",NA
2014,"019","AFG","DT.INR.DPPG",NA
2015,"019","AFG","DT.INR.DPPG",NA
2016,"019","AFG","DT.INR.DPPG",NA
2017,"019","AFG","DT.INR.DPPG",NA
2018,"019","AFG","DT.INR.DPPG",NA
2019,"019","AFG","DT.INR.DPPG",NA
2020,"019","AFG","DT.INR.DPPG",NA
2021,"019","AFG","DT.INR.DPPG",NA
2022,"019","AFG","DT.INR.DPPG",NA
2023,"019","AFG","DT.INR.DPPG",NA
1990,"020","AFG","DT.INR.DPPG",NA
1991,"020","AFG","DT.INR.DPPG",NA
1992,"020","AFG","DT.INR.DPPG",NA
1993,"020","AFG","DT.INR.DPPG",NA
1994,"020","AFG","DT.INR.DPPG",NA
1995,"020","AFG","DT.INR.DPPG",NA
1996,"020","AFG","DT.INR.DPPG",NA
1997,"020","AFG","DT.INR.DPPG",NA
1998,"020","AFG","DT.INR.DPPG",NA
1999,"020","AFG","DT.INR.DPPG",NA
2000,"020","AFG","DT.INR.DPPG",NA
2001,"020","AFG","DT.INR.DPPG",NA
2002,"020","AFG","DT.INR.DPPG",NA
2003,"020","AFG","DT.INR.DPPG",NA
2004,"020","AFG","DT.INR.DPPG",NA
2005,"020","AFG","DT.INR.DPPG",NA
2006,"020","AFG","DT.INR.DPPG",NA
2007,"020","AFG","DT.INR.DPPG",NA
2008,"020","AFG","DT.INR.DPPG",NA
2009,"020","AFG","DT.INR.DPPG",NA
2010,"020","AFG","DT.INR.DPPG",NA
2011,"020","AFG","DT.INR.DPPG",NA
2012,"020","AFG","DT.INR.DPPG",NA
2013,"020","AFG","DT.INR.DPPG",NA
2014,"020","AFG","DT.INR.DPPG",NA
2015,"020","AFG","DT.INR.DPPG",NA
2016,"020","AFG","DT.INR.DPPG",NA
2017,"020","AFG","DT.INR.DPPG",NA
2018,"020","AFG","DT.INR.DPPG",NA
2019,"020","AFG","DT.INR.DPPG",NA
2020,"020","AFG","DT.INR.DPPG",NA
2021,"020","AFG","DT.INR.DPPG",NA
2022,"020","AFG","DT.INR.DPPG",NA
2023,"020","AFG","DT.INR.DPPG",NA
1990,"021","AFG","DT.INR.DPPG",NA
1991,"021","AFG","DT.INR.DPPG",NA
1992,"021","AFG","DT.INR.DPPG",NA
1993,"021","AFG","DT.INR.DPPG",NA
1994,"021","AFG","DT.INR.DPPG",NA
1995,"021","AFG","DT.INR.DPPG",NA
1996,"021","AFG","DT.INR.DPPG",NA
1997,"021","AFG","DT.INR.DPPG",NA
1998,"021","AFG","DT.INR.DPPG",NA
1999,"021","AFG","DT.INR.DPPG",NA
2000,"021","AFG","DT.INR.DPPG",NA
2001,"021","AFG","DT.INR.DPPG",NA
2002,"021","AFG","DT.INR.DPPG",NA
2003,"021","AFG","DT.INR.DPPG",NA
2004,"021","AFG","DT.INR.DPPG",NA
2005,"021","AFG","DT.INR.DPPG",NA
2006,"021","AFG","DT.INR.DPPG",NA
2007,"021","AFG","DT.INR.DPPG",NA
2008,"021","AFG","DT.INR.DPPG",NA
2009,"021","AFG","DT.INR.DPPG",NA
2010,"021","AFG","DT.INR.DPPG",NA
2011,"021","AFG","DT.INR.DPPG",NA
2012,"021","AFG","DT.INR.DPPG",NA
2013,"021","AFG","DT.INR.DPPG",NA
2014,"021","AFG","DT.INR.DPPG",NA
2015,"021","AFG","DT.INR.DPPG",NA
2016,"021","AFG","DT.INR.DPPG",NA
2017,"021","AFG","DT.INR.DPPG",NA
2018,"021","AFG","DT.INR.DPPG",NA
2019,"021","AFG","DT.INR.DPPG",NA
2020,"021","AFG","DT.INR.DPPG",NA
2021,"021","AFG","DT.INR.DPPG",NA
2022,"021","AFG","DT.INR.DPPG",NA
2023,"021","AFG","DT.INR.DPPG",NA
1990,"022","AFG","DT.INR.DPPG",NA
1991,"022","AFG","DT.INR.DPPG",NA
1992,"022","AFG","DT.INR.DPPG",NA
1993,"022","AFG","DT.INR.DPPG",NA
1994,"022","AFG","DT.INR.DPPG",NA
1995,"022","AFG","DT.INR.DPPG",NA
1996,"022","AFG","DT.INR.DPPG",NA
1997,"022","AFG","DT.INR.DPPG",NA
1998,"022","AFG","DT.INR.DPPG",NA
1999,"022","AFG","DT.INR.DPPG",NA
2000,"022","AFG","DT.INR.DPPG",NA
2001,"022","AFG","DT.INR.DPPG",NA
2002,"022","AFG","DT.INR.DPPG",NA
2003,"022","AFG","DT.INR.DPPG",NA
2004,"022","AFG","DT.INR.DPPG",NA
2005,"022","AFG","DT.INR.DPPG",NA
2006,"022","AFG","DT.INR.DPPG",NA
2007,"022","AFG","DT.INR.DPPG",NA
2008,"022","AFG","DT.INR.DPPG",NA
2009,"022","AFG","DT.INR.DPPG",NA
2010,"022","AFG","DT.INR.DPPG",NA
2011,"022","AFG","DT.INR.DPPG",NA
2012,"022","AFG","DT.INR.DPPG",NA
2013,"022","AFG","DT.INR.DPPG",NA
2014,"022","AFG","DT.INR.DPPG",NA
2015,"022","AFG","DT.INR.DPPG",NA
2016,"022","AFG","DT.INR.DPPG",NA
2017,"022","AFG","DT.INR.DPPG",NA
2018,"022","AFG","DT.INR.DPPG",NA
2019,"022","AFG","DT.INR.DPPG",NA
2020,"022","AFG","DT.INR.DPPG",NA
2021,"022","AFG","DT.INR.DPPG",NA
2022,"022","AFG","DT.INR.DPPG",NA
2023,"022","AFG","DT.INR.DPPG",NA
1990,"040","AFG","DT.INR.DPPG",NA
1991,"040","AFG","DT.INR.DPPG",NA
1992,"040","AFG","DT.INR.DPPG",NA
